id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area_lit,pop_lit,dens_lit
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,1293,715,.55
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,1295,716,553
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,1.6,1.6,1052
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,643,476,.74
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,643,476,741
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,0,0,
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,2285,1835,.8
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,2319,2011,867
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,34.1,176,5146
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,3104,2290,.74
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,3309,3778,1142
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,205,1488,7274
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,2422,1782,.74
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,2434,1862,765
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,12.4,80.5,6511
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,1701,1109,.65
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,1703,1119,657
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,2,10.3,5123
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),3338,1504,.45
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),3338,1504,451
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),0,0,
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,3841,2059,.54
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,3862,2158,559
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,21,98.40000000000001,4691
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,3323,1834,.55
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,3327,1868,561
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,4.7,34.6,7421
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,4929,3123,.63
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,4986,3373,676
3_10_236_0,2001,Urban,3,India,10,Bihar,236,Gaya,56.8,249,4386
3_10_237_0,2001,Rural,3,India,10,Bihar,237,Nawada,2498,2153,.86
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,2503,2166,865
3_10_237_0,2001,Urban,3,India,10,Bihar,237,Nawada,4.7,13.6,2909
3_10_238_0,2001,Rural,3,India,10,Bihar,238,Jamui,3055,1387,.45
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,3055,1387,454
3_10_238_0,2001,Urban,3,India,10,Bihar,238,Jamui,0,0,
3_10_239_0,2001,Rural,3,India,10,Bihar,239,Jehanabad,916,630,.6900000000000001
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,916,630,688
3_10_239_0,2001,Urban,3,India,10,Bihar,239,Jehanabad,0,0,
3_10_240_0,2001,Rural,3,India,10,Bihar,240,Arwal,627,394,.63
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,627,394,628
3_10_240_0,2001,Urban,3,India,10,Bihar,240,Arwal,0,0,
3_11_241_0,2001,Rural,3,India,11,Sikkim,241,North  District,4212,36.7,.01
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,4212,36.7,8.700000000000001
3_11_241_0,2001,Urban,3,India,11,Sikkim,241,North  District,0,0,
3_11_242_0,2001,Rural,3,India,11,Sikkim,242,West District,1174,78.30000000000001,.07
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,1174,78.30000000000001,66.8
3_11_242_0,2001,Urban,3,India,11,Sikkim,242,West District,0,0,
3_11_243_0,2001,Rural,3,India,11,Sikkim,243,South District,709,84.10000000000001,.12
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,709,84.10000000000001,119
3_11_243_0,2001,Urban,3,India,11,Sikkim,243,South District,0,0,
3_11_244_0,2001,Rural,3,India,11,Sikkim,244,East District,943,238,.25
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,954,249,261
3_11_244_0,2001,Urban,3,India,11,Sikkim,244,East District,11.4,11,962
3_12_245_1,2001,Rural,3,India,12,India/China  1,245,Tawang,2173,35,.02
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,2173,35,16.1
3_12_245_1,2001,Urban,3,India,12,India/China  1,245,Tawang,0,0,
3_12_246_1,2001,Rural,3,India,12,India/China  1,246,West Kameng,4962,41.8,.01
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,4962,41.8,8.4
3_12_246_1,2001,Urban,3,India,12,India/China  1,246,West Kameng,0,0,
3_12_247_1,2001,Rural,3,India,12,India/China  1,247,East Kameng,6500,45.2,.01
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,6500,45.2,7
3_12_247_1,2001,Urban,3,India,12,India/China  1,247,East Kameng,0,0,
3_12_248_1,2001,Rural,3,India,12,India/China  1,248,Papum Pare,3339,80.5,.02
3_12_248_0,2001,Rural,3,India,12,Arunachal Pradesh,248,Papum Pare,3339,80.5,.02
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,3353,81.5,24.3
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,3353,81.5,24.3
3_12_248_1,2001,Urban,3,India,12,India/China  1,248,Papum Pare,13.7,.9500000000000001,69.2
3_12_248_0,2001,Urban,3,India,12,Arunachal Pradesh,248,Papum Pare,13.7,.9500000000000001,69.2
3_12_249_1,2001,Rural,3,India,12,India/China  1,249,Upper Subansiri,6736,50.90000000000001,.01
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,6736,50.90000000000001,7.600000000000001
3_12_249_1,2001,Urban,3,India,12,India/China  1,249,Upper Subansiri,0,0,
3_12_250_0,2001,Rural,3,India,12,Arunachal Pradesh,250,West Siang,8361,83,.01
3_12_250_1,2001,Rural,3,India,12,India/China  1,250,West Siang,8361,83,.01
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,8361,83,9.9
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,8361,83,9.9
3_12_250_0,2001,Urban,3,India,12,Arunachal Pradesh,250,West Siang,0,0,
3_12_250_1,2001,Urban,3,India,12,India/China  1,250,West Siang,0,0,
3_12_251_0,2001,Rural,3,India,12,Arunachal Pradesh,251,East Siang,3789,109,.03
3_12_251_1,2001,Rural,3,India,12,India/China  1,251,East Siang,3789,109,.03
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,3789,109,28.8
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,3789,109,28.8
3_12_251_1,2001,Urban,3,India,12,India/China  1,251,East Siang,0,0,
3_12_251_0,2001,Urban,3,India,12,Arunachal Pradesh,251,East Siang,0,0,
3_12_252_1,2001,Rural,3,India,12,India/China  1,252,Upper Siang,6615,15.1,0
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,6615,15.1,2.3
3_12_252_1,2001,Urban,3,India,12,India/China  1,252,Upper Siang,0,0,
3_12_253_0,2001,Rural,3,India,12,Arunachal Pradesh,253,Changlang,4976,126,.03
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,5024,136,27.2
3_12_253_0,2001,Urban,3,India,12,Arunachal Pradesh,253,Changlang,47.5,10.7,226
3_12_254_0,2001,Rural,3,India,12,Arunachal Pradesh,254,Tirap,2019,103,.05
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,2019,103,51.2
3_12_254_0,2001,Urban,3,India,12,Arunachal Pradesh,254,Tirap,0,0,
3_12_255_1,2001,Rural,3,India,12,India/China  1,255,Lower Subansiri,2708,59.2,.02
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,2712,59.3,21.9
3_12_255_1,2001,Urban,3,India,12,India/China  1,255,Lower Subansiri,3.8,.1,26.3
3_12_256_1,2001,Rural,3,India,12,India/China  1,256,Kurung Kumey,7083,35.1,0
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,7083,35.1,5
3_12_256_1,2001,Urban,3,India,12,India/China  1,256,Kurung Kumey,0,0,
3_12_257_1,2001,Rural,3,India,12,India/China  1,257,Dibang Valley,9325,16.6,0
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,9325,16.6,1.8
3_12_257_1,2001,Urban,3,India,12,India/China  1,257,Dibang Valley,0,0,
3_12_258_1,2001,Rural,3,India,12,India/China  1,258,Lower Dibang Valley,3681,52.8,.01
3_12_258_0,2001,Rural,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,3681,52.8,.01
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,3681,52.8,14.4
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,3681,52.8,14.4
3_12_258_0,2001,Urban,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,0,0,
3_12_258_1,2001,Urban,3,India,12,India/China  1,258,Lower Dibang Valley,0,0,
3_12_259_0,2001,Rural,3,India,12,Arunachal Pradesh,259,Lohit,4135,132,.03
3_12_259_1,2001,Rural,3,India,12,India/China  1,259,Lohit,4135,132,.03
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,4147,135,32.5
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,4147,135,32.5
3_12_259_0,2001,Urban,3,India,12,Arunachal Pradesh,259,Lohit,11.3,2.5,222
3_12_259_1,2001,Urban,3,India,12,India/China  1,259,Lohit,11.3,2.5,222
3_12_260_0,2001,Rural,3,India,12,Arunachal Pradesh,260,Anjaw,6130,44.5,.01
3_12_260_1,2001,Rural,3,India,12,India/China  1,260,Anjaw,6130,44.5,.01
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,6130,44.5,7.300000000000001
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,6130,44.5,7.300000000000001
3_12_260_0,2001,Urban,3,India,12,Arunachal Pradesh,260,Anjaw,0,0,
3_12_260_1,2001,Urban,3,India,12,India/China  1,260,Anjaw,0,0,
3_13_261_0,2001,Rural,3,India,13,Nagaland,261,Mon,2195,264,.12
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,2195,264,120
3_13_261_0,2001,Urban,3,India,13,Nagaland,261,Mon,0,0,
3_13_262_0,2001,Rural,3,India,13,Nagaland,262,Mokokchung,1607,188,.12
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,1607,188,117
3_13_262_0,2001,Urban,3,India,13,Nagaland,262,Mokokchung,0,0,
3_13_263_0,2001,Rural,3,India,13,Nagaland,263,Zunheboto,1537,142,.09
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,1537,142,92.2
3_13_263_0,2001,Urban,3,India,13,Nagaland,263,Zunheboto,0,0,
3_13_264_0,2001,Rural,3,India,13,Nagaland,264,Wokha,1567,72.90000000000001,.05
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,1570,73,46.5
3_13_264_0,2001,Urban,3,India,13,Nagaland,264,Wokha,3.1,.07,23.7
3_13_265_0,2001,Rural,3,India,13,Nagaland,265,Dimapur,838,131,.16
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,876,226,258
3_13_265_0,2001,Urban,3,India,13,Nagaland,265,Dimapur,37.9,95.2,2514
3_13_266_0,2001,Rural,3,India,13,Nagaland,266,Phek,1861,91.60000000000001,.05
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,1861,91.60000000000001,49.2
3_13_266_0,2001,Urban,3,India,13,Nagaland,266,Phek,0,0,
3_13_267_0,2001,Rural,3,India,13,Nagaland,267,Tuensang,2234,196,.09
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,2234,196,87.7
3_13_267_0,2001,Urban,3,India,13,Nagaland,267,Tuensang,0,0,
3_13_268_0,2001,Rural,3,India,13,Nagaland,268,Longleng,565,73.7,.13
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,565,73.7,130
3_13_268_0,2001,Urban,3,India,13,Nagaland,268,Longleng,0,0,
3_13_269_0,2001,Rural,3,India,13,Nagaland,269,Kiphire,1107,29,.03
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,1107,29,26.2
3_13_269_0,2001,Urban,3,India,13,Nagaland,269,Kiphire,0,0,
3_13_270_0,2001,Rural,3,India,13,Nagaland,270,Kohima,1386,90.7,.07
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,1400,143,102
3_13_270_0,2001,Urban,3,India,13,Nagaland,270,Kohima,13.9,52.40000000000001,3772
3_13_271_0,2001,Rural,3,India,13,Nagaland,271,Peren,1645,43.3,.03
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,1645,43.3,26.3
3_13_271_0,2001,Urban,3,India,13,Nagaland,271,Peren,0,0,
3_14_272_0,2001,Rural,3,India,14,Manipur,272,Senapati,3531,229,.06
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,3534,230,65.10000000000001
3_14_272_0,2001,Urban,3,India,14,Manipur,272,Senapati,2.4,.72,302
3_14_273_0,2001,Rural,3,India,14,Manipur,273,Tamenglong,4111,12.4,0
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,4111,12.4,3
3_14_273_0,2001,Urban,3,India,14,Manipur,273,Tamenglong,0,0,
3_14_274_0,2001,Rural,3,India,14,Manipur,274,Churachandpur,4789,123,.03
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,4789,123,25.7
3_14_274_0,2001,Urban,3,India,14,Manipur,274,Churachandpur,0,0,
3_14_275_0,2001,Rural,3,India,14,Manipur,275,Bishnupur,416,189,.45
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,416,189,454
3_14_275_0,2001,Urban,3,India,14,Manipur,275,Bishnupur,0,0,
3_14_276_0,2001,Rural,3,India,14,Manipur,276,Thoubal,638,525,.8200000000000001
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,638,525,822
3_14_276_0,2001,Urban,3,India,14,Manipur,276,Thoubal,0,0,
3_14_277_0,2001,Rural,3,India,14,Manipur,277,Imphal West,433,299,.6900000000000001
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,501,451,900
3_14_277_0,2001,Urban,3,India,14,Manipur,277,Imphal West,68.7,152,2214
3_14_278_0,2001,Rural,3,India,14,Manipur,278,Imphal East,527,330,.63
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,580,505,870
3_14_278_0,2001,Urban,3,India,14,Manipur,278,Imphal East,53.40000000000001,175,3280
3_14_279_0,2001,Rural,3,India,14,Manipur,279,Ukhrul,4484,188,.04
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,4484,188,41.90000000000001
3_14_279_0,2001,Urban,3,India,14,Manipur,279,Ukhrul,0,0,
3_14_280_0,2001,Rural,3,India,14,Manipur,280,Chandel,3262,24.1,.01
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,3262,24.1,7.4
3_14_280_0,2001,Urban,3,India,14,Manipur,280,Chandel,0,0,
3_15_281_0,2001,Rural,3,India,15,Mizoram,281,Mamit,2963,76.10000000000001,.03
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,2963,76.10000000000001,25.7
3_15_281_0,2001,Urban,3,India,15,Mizoram,281,Mamit,0,0,
3_15_282_0,2001,Rural,3,India,15,Mizoram,282,Kolasib,1586,41.6,.03
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,1586,41.6,26.2
3_15_282_0,2001,Urban,3,India,15,Mizoram,282,Kolasib,0,0,
3_15_283_0,2001,Rural,3,India,15,Mizoram,283,Aizawl,3106,84.90000000000001,.03
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,3174,313,98.80000000000001
3_15_283_0,2001,Urban,3,India,15,Mizoram,283,Aizawl,68.2,229,3351
3_15_284_0,2001,Rural,3,India,15,Mizoram,284,Champhai,3497,112,.03
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,3497,112,31.9
3_15_284_0,2001,Urban,3,India,15,Mizoram,284,Champhai,0,0,
3_15_285_0,2001,Rural,3,India,15,Mizoram,285,Serchhip,1318,29.1,.02
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,1318,29.1,22.1
3_15_285_0,2001,Urban,3,India,15,Mizoram,285,Serchhip,0,0,
3_15_286_0,2001,Rural,3,India,15,Mizoram,286,Lunglei,4520,140,.03
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,4520,140,31
3_15_286_0,2001,Urban,3,India,15,Mizoram,286,Lunglei,0,0,
3_15_287_0,2001,Rural,3,India,15,Mizoram,287,Lawngtlai,2350,71.5,.03
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,2350,71.5,30.4
3_15_287_0,2001,Urban,3,India,15,Mizoram,287,Lawngtlai,0,0,
3_15_288_0,2001,Rural,3,India,15,Mizoram,288,Saiha,1477,30.9,.02
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,1477,30.9,20.9
3_15_288_0,2001,Urban,3,India,15,Mizoram,288,Saiha,0,0,
3_16_289_0,2001,Rural,3,India,16,Tripura,289,West Tripura,2831,1144,.4
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,2973,1418,477
3_16_289_0,2001,Urban,3,India,16,Tripura,289,West Tripura,142,274,1932
3_16_290_0,2001,Rural,3,India,16,Tripura,290,South Tripura,3106,770,.25
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,3119,844,271
3_16_290_0,2001,Urban,3,India,16,Tripura,290,South Tripura,13.2,74.60000000000001,5665
3_16_291_0,2001,Rural,3,India,16,Tripura,291,Dhalai,2278,318,.14
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,2281,321,141
3_16_291_0,2001,Urban,3,India,16,Tripura,291,Dhalai,2.3,2.8,1191
3_16_292_0,2001,Rural,3,India,16,Tripura,292,North Tripura,2033,594,.29
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,2067,671,325
3_16_292_0,2001,Urban,3,India,16,Tripura,292,North Tripura,33.6,77,2294
3_17_293_0,2001,Rural,3,India,17,Meghalaya,293,West Garo Hills,3424,532,.16
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,3444,554,161
3_17_293_0,2001,Urban,3,India,17,Meghalaya,293,West Garo Hills,20.9,21.5,1028
3_17_294_0,2001,Rural,3,India,17,Meghalaya,294,East Garo Hills,2738,180,.07
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,2756,183,66.2
3_17_294_0,2001,Urban,3,India,17,Meghalaya,294,East Garo Hills,18.6,2.3,125
3_17_295_0,2001,Rural,3,India,17,Meghalaya,295,South Garo Hills,1971,82.10000000000001,.04
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,1971,82.10000000000001,41.7
3_17_295_0,2001,Urban,3,India,17,Meghalaya,295,South Garo Hills,0,0,
3_17_296_0,2001,Rural,3,India,17,Meghalaya,296,West Khasi Hills,5121,257,.05
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,5121,257,50.3
3_17_296_0,2001,Urban,3,India,17,Meghalaya,296,West Khasi Hills,0,0,
3_17_297_0,2001,Rural,3,India,17,Meghalaya,297,Ribhoi,2434,211,.09
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,2434,213,87.60000000000001
3_17_297_0,2001,Urban,3,India,17,Meghalaya,297,Ribhoi,.6900000000000001,2.5,3586
3_17_298_0,2001,Rural,3,India,17,Meghalaya,298,East Khasi Hills,2772,327,.12
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,2838,568,200
3_17_298_0,2001,Urban,3,India,17,Meghalaya,298,East Khasi Hills,66.2,241,3636
3_17_299_0,2001,Rural,3,India,17,Meghalaya,299,Jaintia Hills,3789,329,.09
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,3793,335,88.30000000000001
3_17_299_0,2001,Urban,3,India,17,Meghalaya,299,Jaintia Hills,3.9,5.4,1408
3_18_300_0,2001,Rural,3,India,18,Assam,300,Kokrajhar,3145,927,.29
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,3147,929,295
3_18_300_0,2001,Urban,3,India,18,Assam,300,Kokrajhar,2.3,1.7,742
3_18_301_0,2001,Rural,3,India,18,Assam,301,Dhubri,2157,1109,.51
3_18_301_0,2001,Total,3,India,18,Assam,301,Dhubri,2164,1146,530
3_18_301_0,2001,Urban,3,India,18,Assam,301,Dhubri,6.9,36.4,5252
3_18_302_0,2001,Rural,3,India,18,Assam,302,Goalpara,1993,852,.43
3_18_302_0,2001,Total,3,India,18,Assam,302,Goalpara,1994,854,428
